web-scraper-order,web-scraper-start-url,linktopage-href,title,age,readytoleave,dec,num_pics,price,location
1588698211-23,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/2-stunning-young-snow-bengal-cats-kittens.-/1372023741,2 Stunning Young Snow Bengal Cats/Kittens.,11 months,Now,"The time has come to reluctantly sell 2 female kittens. They are now almost a year old and are chipped, upto date with there injections, and both been spade. We intially wanted to keep all the kittens but unfortunately 5 cats in one household is just too many. They have piercing blue eyes and are really friendly little girls. They have soft white fur and slight Bengal markings. They are great around children and are completely house trained and quite independent. The cats must be sold as a pair as we would like them to stay together ideally. They come with a new pet carrier and their bed which they share. They are both also upto date with flea and worming treatments. £800.00 ovno for both of them. More pics can be sent once contact is established. Can deliver locally as long as social distancing is respected.",1 of 6,£800.00 ,"Hemel Hempstead, Hertfordshire"
1588698219-27,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/last-male-kitten-/1372116275,LAST MALE KITTEN,9 weeks,Now,"Beautiful males very playful and friendly loves cuddles , eats wet and dry food has been flead and wormed up to date litter trained no timewasters pls call if ur intrested",1 of 3,£180.00 ,"Minster on Sea, Kent"
1588698181-9,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/kittens-for-sale-/1371189396,Kittens for sale,10 weeks,Now,"8 weeks 

3 boys 2 girls Kittens for sale . Posted by Wahid in Pets for Sale, Cats in Luton. 19 April 2020",1 of 2,£250.00 ,"Luton, Bedfordshire"
1588698162-1,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=5,https://www.gumtree.com/p/cats/5-gorgeous-kittens-ready-25-april-all-sold-/1370357007,5 Gorgeous Kittens - Ready 25 April *ALL SOLD*,9 weeks,Now,"5 Beautiful Girl Kittens



Each kitten is £150.00



*Ready for their forever homes on 25 April.*



1 pure white kitten

1 white kitten with little grey patch on top of head

2 black and white kittens

1 Calico kitten



To reserve a kitten a £50 deposit reserves the kitten of your choice. Balance of £100.00 to be paid on collection.



Each kitten is eating and drinking. They are litter trained and play on the cat tower.



Before going to their forever homes, they will be dewormed and deflead.



Thank you",1 of 19,£150.00 ,"Crawley, West Sussex"
1588698370-97,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/persian-chinchilla-kittens-/1371852178,Persian chinchilla kittens __,7 days,in 8 weeks,My beautiful Persian chinchilla queen __ Dulcie mae gave birth to 4 gawjuss kittens __ kittens will be weaned Roual canin kitten __ will be defled and dewormed x litter trained and also leave with mamas scented blanket x kitten will go to loving __ homes __ only pls ! These kittens __ are extremely precious to me and my family pls no time wasters !! Deposit £100 non refundable due to covid 19 ) video viewings at present till collection 28th June thanks __ pls feel free to call me ____ grey boy royality __ avalible __Golden boy chase __ available . Ginger / brown girl mollie -mae __avalible . Dark brown girl Lexie __ reserved ! Feel free ask any questions! You will get weekly updates about your choosen Persian chinchilla cutie pie __ Feel free call me ____ 07305 746 700 Rebecca xx,1 of 8,£750.00 ,"Barking, London"
1588698170-5,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=5,https://www.gumtree.com/p/cats/kittens-female-ginger-girls-rare-/1371781028,Kittens ( female ginger girls ) Rare,3 weeks,in 5 weeks,"Hello our amazing cat gave birth to 7 stunning pure ginger kittens. 
Five are girls two are boys
(Both Boys are reserved )
( Rare ) girls are £900 ( 3 remaining )

All of them are full ginger striped or spotted 
They are very curious,active, healthy happy kittens.
Mum is a lovely girl she’s almost 4 years old now loves other pets and children.
The father is our neighbours Tom Garfield he’s a pure breed ginger extremely handsome.
We would love owners to keep us updated every now and then with pictures when homed.
They will be ready to leave in just under 5 weeks Currently 3 weeks old. 
You will be updated with videos & regular pictures until collection.
They are from a loving family home mum can be seen dad spends a lot of time sunbathing in our garden!
They will come with one weeks food & one month of treats 
Father is the last picture. 
Deposit is £200 
No wasters no offers please
Thank you 
Em",1 of 9,£900.00 ,"Croydon, London"
1587127582-634,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/2-super-cute-kittens-sold-both-sold-/1370409136,"2 Super Cute Kittens __ (SOLD ,Both SOLD)",10 weeks,Now,"Two amazing, loving and friendly kittens are looking for a new warm home. The kittens are very playful and lively they have both been litter trained and eat both wet and dry food.
Please email or text me if you would like to meet the kittens the black and white fluffy one is a boy and the black one with small bit of white under her chin is a girl.
Price £250 each.
Ready to leave now . 
Call 07952188098 David",1 of 9,£250.00 ,"Palmers Green, London"
1587127616-647,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/british-short-hair-kittens-4-boys-and-1-girl/1370835042,"British Short Hair Kittens, 4 boys and 1 girl",9 days,in 12 weeks,"I am happy to announce that my beautiful BSH queen just had her second litter of kittens on 9th of April



4 boys blue tortie tabby , 1 blue tortie girL



ALL OF THEM RESERVED



Kittens will be fully litter trained, scratch post trained, eating both wet and dry food as well as drinking water. Kittens and mum are feed with royal canin.



Kittens are brought up in a loving home around children and other cats/kittens. They are used to all noise and will leave healthy and confident. Mother is our lovely queen and you can see her when you visit the kittens. Both mum and dad coming from champions line, father register GCCF, both parents with full pedigree.



Dad is a russian import with champion lines, Dad is a chunky blue.



The picture are from the first litter of kittens and soon I will upload the new ones.



The kittens will be ready to leave around the middle of Jully

They will be veterinary health checked and have their first and second vaccination.

They will also come with a kitten pack including food toys and litter.

4 weeks insurance PETPLAN.



Please get in touch if you could offer one of our beautiful kittens a 5 star home, they will leave at 12 weeks old.



£150 holding deposit is required to reserve the kitten of your choice.",1 of 18,£700.00 ,"Stratford, London"
1587127510-610,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/adorable-kittens-for-sale-/1370883912,ADORABLE KITTENS FOR SALE,5 weeks,in 3 weeks,"Adorable black and white kittens for sale. Two girls and two boys. Home reared. Very used to dogs and other cats. Very affectionate and full of personality!



Will be ready to go to their forever homes at the end of April.",1 of 9,£60.00 ,"Staplehurst, Kent"
1587127611-645,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/adorable-kittens-available-in-4-weeks-currently-4-weeks-old-./1370756533,adorable kittens available in 4 weeks (currently 4 weeks old).,4 weeks,in 4 weeks,"adorable kittens

2 male : black and white(cute cow print)

black - RESERVED

2 female:

brown and black (RESERVED)

white and black (with a pink nose - RESERVED)



Available for reservation with deposit 50GBP per kitten Not Refundable.



All kittens are currently playful and breastfeeding and not on solid foods yet or litter trained as they are too young, but will be once ready for collection should be all sorted!



More Pictures available on request



Looking for loving and caring homes for these beautiful kittens so genuine enquiries only. 18+only",1 of 6,£225.00 ,"Wembley, London"
1587127665-660,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/half-persian-kittens-waiting-for-new-family-/1370970065,Half persian kittens waiting for new family,8 weeks,Now,"Hello, we have to find the new homes for our little kittens, they are very gentle and calm. They eat well dry and wet food. They are using only the litter tray. The mum is one of our 2 cats, she can be seen during the collection time. Unfortunately we don't know the father,as she is going out, she is vaccinations up to date. The kittens are just dewormed and deflated, we didn't do any vaccinations yet, they never been outside. They love to cuddle. They will come with full starter kit( litter tray, litter , dry and wet food, some toy,and the blanket which will smell their mother to help them feel more comfortable in new place.
Due to COVID 19 we prefer to keep the social distance during the collection. You can live the box or transporter next to door and we can just put the kitten inside, or if you have better idea we are happy with that. 
3 boys (1 RESERVED)
2 girls",1 of 7,£400.00 ,"Raynes Park, London"
1587127517-613,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/4-kittens-for-sale-ready-for-new-home-1st-may-/1370973645,4 Kittens for sale - Ready for new home 1st May,7 weeks,in 2 weeks,"I have 4 beautiful kittens ready for a new loving home.

3 black and white boys and 1 black girl.

All have unique personalities happy to share if interested.

Selling for £100 each

All de-flead and de-wormed

Please no time wasters 0",1 of 5,£100.00 ,"Whyteleafe, Surrey"
1587127530-618,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/bengal-cross-kitten-boy-/1371061318,Bengal cross kitten boy,9 weeks,Now,Selling my beautiful Bengal cross as unfortunately my daughter has developed an allergy. Pick up from Surbiton /Chessington area. He’s energetic and playful. Would like what I paid for it. His mum is a full pedigree glitter Bengal. Dad is unknown. Birthday 14.02.2020. Comes de flead and de wormed. Has not been outdoors.,1 of 6,£475.00 ,"Chessington, Surrey"
1587127596-639,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kittens-for-sale/1370565986,Kittens for sale,5 weeks,in 5 weeks,"Kittens for sale



Born : 7 March



Almost ready for purchase

Will be ready in a few weeks time

5 black and 1 black and white.

Kittens able to eat dry food already and also will be

have a litter training.",1 of 4,£40.00 ,"Haringey, London"
1587127592-637,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kitten-are-mixed-with-british-shorthair-russian-bluereserve-only-for-now/1370554673,KITTEN ARE MIXED WITH BRITISH SHORTHAIR/RUSSIAN BLUERESERVE ONLY FOR NOW,9 weeks,in 7 weeks,"Reserve only till 8 weeks old.



When 8 weeks will be wormed and fleed.

Whom will be reserved will get a weekly update of how the cat will be looking.



Number is 07950787142 / 07508879832",1 of 2,£800.00 ,"Newham, London"
1587127600-641,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/100-maine-coon-all-fluffy-and-blue-gccf-kittens/1367567764,100 % Maine coon All fluffy and blue GCCF kittens,3 weeks,in 6 weeks,"Please Contact only 07471500169

Maine Coon 
One boy and one girl pure maine coon. father gold medalist at the cat show. both parents registered in the GCCF. parents tested for diseases, both completely healthy. kittens will go to new homes after vaccinations according to age. father and mother live with us at home so you can see them. all kittens are blue just like parents
 To reserve our kittens we ask £ 300 non refundable deposit 
Full price 1500£",1 of 9,"£1,500.00 ","Greenford, London"
1587127482-604,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/persian-kittens/1370932602,Persian Kittens,8 weeks,Now,"This Lovely female persian is looking for a new home. She is fully litter trained and independent, very active, very playful and loves to be around people. Both parents live together and can be seen.",1 of 14,£650.00 ,"Eltham, London"
1587127629-652,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/lovely-fluffy-playful-black-kittens-x/1370916910,Lovely fluffy playful black kittens x,6 weeks,in 2 weeks,"Beautiful fluffy, black kittens with blue eyes They’re very playful and healthy. They have been weened and litter trained also flea’d. They’re eating wet and dry kitten food. Ready to go to their forever homes in two weeks time as they’re currently 6 weeks. Week commencing 4th May.

2 x boys

2 x girls

Taking deposits now to secure.",1 of 4,£250.00 ,"Kentish Town, London"
1587127507-609,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/lovely-kittens-1-kitten-left-read-description-please-/1370881836,Lovely kittens (1 kitten left) READ DESCRIPTION PLEASE,7 weeks,in 1 week,"Lovely kittens 7 weeks old tomorrow ready in 1 week 
4 girls 2 boys 
Dewormed with beapher syrup 
Deflead with Johnson's flea tablets 
Eating dry and wet food 
Litter trained 
Because of covid-19 I will ask to come for viewing 1 person and use ppe protective gloves , mask ,and apron I will provide if u dont have . 
Deposit of £50.00 taken now please choose kitten from number on picture as will ask u in which kitten u interested 
Thank you for understanding . 
Tabby white Girl picture number 1. RESERVED 
Blue Girl picture 2. RESERVED 
Girl blue taby picture 3. RESERVED 
Boy black with grey mark's picture 4. RESERVED 
Girl black picture 5. £200
Boy black short hair picture 6. RESERVED",1 of 7,£200.00 ,"Waltham Abbey, Essex"
1587127461-597,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/5-gorgeous-kittens-ready-25-april-all-reserved/1370357007,5 Gorgeous Kittens - Ready 25 April *All reserved,7 weeks,in 1 week,"5 Beautiful Girl Kittens



*Ready for their forever homes on 25 April.*



1 pure white kitten

1 white kitten with little grey patch on top of head

2 black and white kittens

1 Calico kitten



To reserve a kitten a £50 deposit reserves the kitten of your choice.



Each kitten is eating and drinking. They are litter trained and play on the cat tower.



Before going to their forever homes, they will be dewormed and deflead.



Thank you",1 of 19,£150.00 ,"Crawley, West Sussex"
1587127624-650,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kitten-for-sale-only-one-left-/1370829933,Kitten For Sale only one left!!,8 weeks,Now,"Ready to go to a forever home!





Deflead



Dewormed



 We are COVID-19 free so nothing to worry about they are £300 each and collection in Cricklewood northwest London please text me for any more details, pictures or videos on 07496062962



Be safe!",1 of 1,£320.00 ,"Kilburn, London"
1587127602-642,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/british-blue-kittens-/1370696854,British blue kittens,9 weeks,Now,"Update!!!!
All kittens SOLD!!!! 

Stunning long awaited kittens now ready for reserve!!
Both parents are my own pets. Mother is GCCF REGISTERED but the father is not 
I have 2 boys and 1 girl

GIRL - SOLD _
2 BOYS - SOLD _

Ready to leave on the 29th May 2020
Please text only",1 of 2,£850.00 ,"Ilford, London"
1587127576-632,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/british-blue-short-hair-kittens/1370249376,British Blue Short Hair Kittens,5 weeks,in 6 weeks,"!!Update!!
Thank you for your kind interest!! All the kittens have found their life long home __ 
1 blue boy (reserved for Lucy&Adrian)
2 blue girls (reserved)
1 blue boys (reserved for Hayley)
1 blue boy (reserved for Jamime)

Stunning long awaited kittens now ready for reserve!!
Both parents are my own pets who are champion sired
Ready to leave on the 18th May
Will be Fully vaccinated already vet checked
Precautionary flea treated with strong hold
Wormed with panacur 10%
Will be Insured and microchipped 

FaceTime can be done for viewing at the moment.

Please contact me for more details",1 of 9,£850.00 ,"Enfield, London"
1587127579-633,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/all-kittens-are-reserved/1370385721,All kittens are Reserved,6 weeks,in 2 weeks,Hymilyan/maine koon kittens all reserved 3 girls 3 boys add is only up due to any falling through due to the virus covid -19 if still available.you can contact me in 3rd of may if any available you can view many thanks and best wishes keep safe all deposits are non refundable,1 of 15,£350.00 ,"Heathrow, London"
1587127700-675,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/2-gorgeous-ginger-kittens/1371085720,2 Gorgeous ginger kittens,8 weeks,Now,"Very playful and amazing little one's. Both gingers, eating wet food, defleaed. Fixed price 300£ each! Ready to go today! Only serious enquiries by message!",1 of 1,£300.00 ,"Southgate, London"
1587127686-669,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/5-beautiful-kittens-/1371059000,5 beautiful kittens !!,7 weeks,in 1 week,5 beautiful litter trained kittens already eating wet and dry food ready to go in a week! 3 girls and 2 boys. Two black kittens are girls and one tabby is a girl.,1 of 4,£100.00 ,"Stratford, London"
1587127620-648,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/2-x-5-month-old-kittens-sold-/1370860578,2 x 5 month old kittens (SOLD),5 months,Now,These kittens are vaccinated and Litter trained. Very affectionate and playful. My daughter got them for her sons but unfortunately my grandson is allergic to them and sne has no choice but to let them go. Covered litter tray and bed included.,1 of 8,£180.00 ,"Shepherds Bush, London"
1587127695-673,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/bengal-x-kittens/1371075063,Bengal x kittens,8 weeks,Now,"I have 3 adorable kittens for sale. The mum is a pure bengal. She’s available to be seen. The kittens are deflead, dewormed and litter trained. Theyre very adorable , loving and playful ready for their new homes!

Tabby Boy 450 AVAILABLE",1 of 4,£450.00 ,"Croydon, London"
1587127546-622,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/4-beautiful-seal-ragdoll-kittens/1371082604,4 beautiful seal ragdoll kittens,4 months,Now,"16 weeks old
Had all vaccinations done flea and worm treated
Microchiped 
3 boys , 1 girl
Very fluffy, playful and loveable.
 Both mum and dad are here to see as they are my family pets they are used to being held by children. kittens 
Will come with a bag of royal canin kitten food and toys
Needs a new home
Non-smoking 
Good with kids",1 of 8,£500.00 ,"Chelmsford, Essex"
1587127690-671,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/fluffy-maine-kittens-250/1371061943,Fluffy Maine kittens 250,8 weeks,in 2 weeks,"Gorgeous Fluffy Maine kittens
For Sale 
Call 07368372645 for more info
Mom in some of the pictures 
£250 each",1 of 8,£250.00 ,"Tottenham, London"
1587127705-677,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/kittens-for-sale-/1371087079,Kittens for sale,8 weeks,Now,6 beautiful 8 weeks old kittens. They are well fed(they eat wet and dry food) and they are litter trained. They love to play and they are energetic. There's two males and four females wich are so adorable! They love to be stroked and at times they purr Walthamstow. £100 each.,1 of 19,£100.00 ,"Walthamstow, London"
1587127658-657,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/gorgeous-and-adorable-little-kittens/1370950858,Gorgeous and adorable little kittens,3 weeks,in 5 weeks,"Hi,
I have 5 kittens which are currently 3 weeks old.
Very fluffy and playful they will be litter trained and will be ready to go after 16th of May.
3x midnight black - £400 each
2x grey and white - £600 each
Please don’t hesitate to contact me if you need more info.",1 of 8,£600.00 ,"Edgware, London"
1587127537-620,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/british-short-hairx-kitten/1371077529,british short hairX kitten,8 weeks,Now,"call or watsapp 07466518852 
british short hair cross kittens 8 weeks old ready to go new homes eating and drinking , litter trained, dewormed and deflead, not vaccinated, mum can be seen , i dont have dad,no time waster plzzz
black £300 each
tabby £400
tabby white £350
not holding",1 of 9,£300.00 ,"Chigwell, Essex"
1587127594-638,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/lovely-kitten-boy-/1370557791,Lovely kitten boy,5 weeks,in 3 weeks,Hi up to for sale boy (see photos) ready to go for four weeks.He will be treated for fleas and worms. Viewings welcome .Deposit:50£,1 of 5,£170.00 ,"South East London, London"
1587127585-635,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/lovely-kittens/1370482352,Lovely kittens,9 weeks,Now,"They are 9 weeks old 
De fleas and de wormed 
Litter training 
Eating soft and dry food 
Ready to go new home
£ 200
For more information just call 
Only calls please 
First come first serve 
Thanks",1 of 9,£200.00 ,"Islington, London"
1587127559-627,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/super-cute-kittens-both-sold-/1369710513,Super cute Kittens (BOTH SOLD),11 weeks,Now,"Two amazing, loving and friendly kittens are looking for a new warm home. The kittens are very playful and lively they have both been litter trained and eat both wet and dry food.
Please email or text me if you would like to meet the kitten one is a boy and one is girl .
Price £200 each if you want the pair we can have a chat . 
Call 07952188098 David .",1 of 7,£200.00 ,"Palmers Green, London"
1587127465-599,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/beautiful-litter-of-kittens-all-now-reserved-/1370502881,Beautiful Litter of kittens ALL NOW RESERVED,4 weeks,in 4 weeks,"Beautiful litter of 5 kittens

One female tabby

One male tabby

2 black and white males

One all black female

Not ready to leave till 4th may

Will come fully litter trained

Will also have been wormed and flead

I can send more pictures on request

ALL NOW RESERVED",1 of 7,£120.00 ,"Woking, Surrey"
1587127608-644,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kitten/1370749195,Kitten,2 weeks,in 7 weeks,"5 beautiful kittens born the 14/03/20 picture of the little cuties feel free to message me for more information 
100 each",1 of 7,£100.00 ,"Bromley, London"
1587127702-676,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/kittens/1371086479,Kittens,10 weeks,in 2 weeks,Kittens ready to go in two weeks very clean and that like to play with kids,1 of 5,£100.00 ,"Heathrow, London"
1587127535-619,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kitten/1371069165,Kitten,9 weeks,in 3 weeks,Lovely colour kittens looking for loving forever home. Weaned and litter trained flead and wormed. 3 boys 1 girl,1 of 4,£180.00 ,"Gravesend, Kent"
1587127525-616,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/bengal-x-kittens-/1370995190,Bengal x kittens,8 weeks,Now,"4 beautiful bengal cross babies,2 girls 2 boys. They have been raised in a family home with endless attention and have been socialised with large dogs.
Kittens will leave with the following :
PET LOG MICROCHIPPED to new owner
4 WEEKS PET PLAN INSURANCE 
FULLY WORMED on Panacur2/4/6/8/ weeks of age 
KITTEN PACKS INCLUDE :
Royal canine Bengal kitten dry 
Royal canine Bengal kitten meat 
Food bowl 
Scented blanket
Kitten played tunnel
Ball toy 

I had planned on kittens leaving with a vets 4 pets first steps started pack £85 , witch includes both vaccinations ,chip,3 months flea an worming and a discount on neutering. But due to the current situation with coronavirus it’s unknown how long I would need to hold onto the kittens for vets to be open to do routine appointments again, so im letting these babies leave without vaccinations but trust the new owners will make arrangements with there own vets to do so once it’s safe. 
Kittens date of birth 18/02/20
1 tabby girls £350
1 tabby girl reserved 

1 tabby boy sold
1 black boy sold",1 of 9,£350.00 ,"Maldon, Essex"
1587127649-654,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/silver-breed-bengal-kittens-/1370929136,Silver breed bengal kittens,4 weeks,in 10 weeks,"Born on the march 16th ,3 cute little kittens ,1 male 2 female ,the price of the kittens are different so make sure you prive message me . Parents are the champions of their breed ,high class. Open to reservations !

-Comes with Pedigree documents

-Comes with passport

-Comes with microchip

-Comes with all needed vaccinations",1 of 6,£900.00 ,"Barnet, London"
1587127674-664,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/british-blue-kitten/1370996791,British Blue Kitten,8 months,Now,"Lovely British blue girl 8 months old, she is super affectionate and always purring. Having to rehome due to personal circumstances. She is up to date with worming, flea treatment and has had all the needed vaccinations.



She’s really friendly, sociable and curious. She loves company and will always like to be in the same room as whoever is in the house, siting next to, near or on. She gets on great with guests. She has been an indoor cat, but likes to look out the window at the world. She likes to sleep on the bed at night. She loves to be petted and cuddled. She is playful and enjoys her toys.



Included in the price are all of her accessories and toys, approximate original prices below. A car will be needed to collect everything.



You will have everything you need to adopt her and have her in your home right away.



Catit cat carrier £40

Vesper cat tree including cat bed and washable cat resting pads £100

Litter Tray £40

Additional Litter Tray with special sieve system £40

2 x 30kg bags of wood pellet litter £40

Approx 10 x boxes of cat food at 10.99 - 13.99 per box

2 x special wand toys £40

Flea Treatment £50

Working Treatment £10

Furminator Brush: £15

Feeding bowls and placemats: £25



Other already paid for:

Vaccinations

Neutering",1 of 8,£900.00 ,"Camberwell, London"
1587127663-659,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/kittens-all-sold-/1370968828,Kittens( All sold),8 weeks,Now,"Ready now beautiful playful kittens looking for forever home Kittens . Posted by Amy in Pets for Sale, Cats in Romford. 15 April 2020",1 of 5,£130.00 ,"Romford, London"
1587127503-608,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/beautiful-mainecoon-cross-kittens-/1370846404,Beautiful mainecoon cross kittens,10 weeks,Now,Hi I have 5 beautiful mainecoon cross kittens for sale they are eating and drinking well wormed up to date litter trained and ready to go to their new homes please call for any more information full blue girl is £550 can be seen with mum and dad we have girls and boys available thanks,1 of 9,£350.00 ,"Epsom, Surrey"
1587127661-658,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/cuddly-cute-and-friendly-male-torti-kitten-for-sale-sold-/1370966670,"Cuddly,cute and friendly male torti kitten for sale(SOLD)",7 weeks,in 1 week,"male tortishell kitten for sale
He is currently 7 weeks old. He's very fluffy and very cuddly . Kitten has been litter trained , dewormed and deflead. He is Ready to go to his new cosy loving home on 24th of April/25th of April.
X1 male tortishell kitten.
We are taking £50 deposits. If needed , we will provide you with a starter kit and home delivery if you want to depending on postcode. 
We accept reasonable offers... 
If you need extra pictures then contact us on Gumtree.",1 of 5,£250.00 ,"Walthamstow, London"
1587127555-625,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/white-kitten-for-sale/1371087009,White kitten for sale,8 weeks,Now,"White male kitten 8 weeks old, litter trained must go to a good home.",1 of 5,£150.00 ,"Baldock, Hertfordshire"
1587127605-643,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/5-kittens/1370699328,5 kittens,5 weeks,in 3 weeks,"For sale 5 little lovely kittens 4week's old

3 female

2 male",1 of 7,£200.00 ,"Redbridge, London"
1587127512-611,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens/1370913554,Kittens,8 weeks,Now,"Last 2 kittens for sale. Ready now 
Flead and wormed.
Will come with a bag of kitten biscuits and a pouch of meat. 
Safe distance when collecting kitten
£150
UPDATE
Both kittens above have gone to their new homes.
I have a boy who has become available. Will try and upload a picture",1 of 3,£150.00 ,"Woking, Surrey"
1587127474-602,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/blue-bsh-x-black-persian-kittens-boys-and-girls-/1370709314,BLUE BSH X BLACK PERSIAN kittens boys and girls,2 weeks,in 6 weeks,"Kittens born 02.04.2020. Kittens are BLACK and BLACK and WHITE. TAKING £50 deposit to hold kitten. KITTENS WILL COME WITH PACK including:
Collar 
Blanket
Toys 
Food
All kittens will be flead, wormed, inoculated to date, and microchipped
Each kitten will have vets certificate and microchip details. 
Please text/call 07761798399 or leave voicemail on 01273969528. 
Thanks 
Louise",1 of 4,£400.00 ,"Brighton, East Sussex"
1587127667-661,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/4-kittens-for-sale/1370973750,4 kittens for sale,6 weeks,in 2 weeks,2 white kittens turquoise angora and 2 bengal. the Bengal girls are girls and the white boys. the price is 450 boys and girls 350. for more details contact me: 07465913231,1 of 8,£450.00 ,"Romford, London"
1587127522-615,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/siberian-kittens/1368630927,Siberian kittens,3 months,Now,"Siberian kittens for sale.

Both parents imported from Russia with excellent pedigree bloodlines with champions and world champions. GCCF registered show class cats.Both parents can be seen.

The kittens are very playful, friendly and cute.They are fully vaccinated, microchipped,wormed, and litter trained.Kittens will come with:sale contract, 4 weeks free insurance and goody bag.

Not for breeding.Indoor only.

Please text me as there is a big chance that I won’t be able to answer a phone call, I will return any texts as soon as possible. 07399622733 Crawley",1 of 6,"£1,200.00 ","Ifield, West Sussex"
